Store ID,Width,Height,X,Y,MapName,StoreName,New Store ID,,
120,28,180,1574,1046,C120,20/20,,,
121,28,240,1538,986,C122,,,,
122,34,100,1496,1126,C126,WIND AND WATER,,,
123,34,100,1454,1126,C128,GAME GRID,,,
124,34,100,1412,1126,C130,DC WESTERN WEAR,,,
125,34,100,1370,1126,C132,DALLANA FASHION,,,
126,34,100,1328,1126,C134,JOLENE,,,
127,32,100,1180,1126,C138,?,,,
128,32,100,1140,1126,C140,EMPTY,,,
129,32,100,1100,1126,C142,WEST VALLEY MUSIC,,,
130,32,84,1060,1126,C144,?,,,
131,10,6,,,K101,?,,,
132,10,6,,,K103,?,,,
133,10,6,,,K106,?,,,
134,10,6,,,K108,?,,,
135,10,6,,,K109,?,,,
136,10,6,,,K110,?,,,
137,10,6,,,K111,?,,,
138,10,6,,,K102,SILVER LOFT,,,
139,10,6,,,K104,MOBILE SOURCE,,,
140,6,10,,,K100,MRS. CAVANAUGH'S,,,
141,10,6,,,K121,?,,,
142,10,6,,,K105,DIAMOND WIRELESS,,,
143,10,6,,,K112,RADIO SHACK,,,
144,10,6,,,K113,?,,,
145,10,6,,,K114,?,,,
146,10,6,,,K115,?,,,
147,10,6,,,K116,?,,,
148,10,6,,,K119,SPRINT WIRELESS,,,
149,10,6,,,K120,?,,,
150,10,6,,,K117,?,,,
151,10,6,,,K107,RELOCATED CONNECTED WIRELESS,,,
152,10,6,,,K118,?,,,
